RecordedDate,Ss: Participant Number (to be filled out by researcher):,interval_1s,Group,Subject,Experience,gender: What is your gender?,age: What is your age (in years)?,Q10: What is the highest level of education you have completed?,cdl: Have you ever had a Commercial Drivers License (CDL) or Professional Equivalent Certification (i.e. special vehicle training)?,cdl_yrs: How long did you have a CDL or Professional Equivalent Certification (in years)?,Q20: Do you have experience driving heavy trucks and/or large vehicles?,Q21: Briefly describe your experience driving heavy trucks and/or large vehicles.,"miles: Over the past five years, what is your average annual mileage (estimate all vehicles combined)?","tickets: In the past year, how many moving or traffic violations have you had?","crashes: In the past year, how many crashes have you been in?",driving_yrs: How many years have you been driving?,total_MMDBQ_score,avg_MMDBQ_score,total_GRiPS_score,avg_GRiPS_score,Q11_1: How often do you do the following while driving... - Attempt to drive away from traffic lights in the wrong gear,Q11_2: How often do you do the following while driving... - Become impatient with a slow driver in the fast lane and pass on the right,Q11_3: How often do you do the following while driving... - Drive especially close to a car in front as a signal to the driver to go faster or get out of the way,Q11_4: How often do you do the following while driving... - Attempt to pass someone that you hadn't noticed to be making a left turn,Q11_5: How often do you do the following while driving... - Forget where you left your car in a parking lot,"Q11_6: How often do you do the following while driving... - Turn on one thing, such as your headlights, when you mean to switch on something else, such as the windshield wipers",Q11_7: How often do you do the following while driving... - Realize that you have no clear recollection of the road along which you have just been traveling,Q11_8: How often do you do the following while driving... - Cross an intersection knowing that the traffic lights have already changed from yellow to red,Q11_9: How often do you do the following while driving... - Fail to notice that pedestrians are crossing when turning onto a side street from a main road,"Q11_10: How often do you do the following while driving... - Angered by another driver's behavior, you catch up to them with the intention of giving him/her ""a piece of your mind""",Q12_1: How strongly do you agree/disagree with the following statements... - Taking risks makes life more fun,Q12_2: How strongly do you agree/disagree with the following statements... - My friends would say that I'm a risk taker,Q12_3: How strongly do you agree/disagree with the following statements... - I enjoy taking risks in most aspects of my life,Q12_4: How strongly do you agree/disagree with the following statements... - I would take a risk even if it meant I might get hurt,Q12_5: How strongly do you agree/disagree with the following statements... - Taking risks is an important part of my life,Q12_6: How strongly do you agree/disagree with the following statements... - I commonly make risky decisions,Q12_7: How strongly do you agree/disagree with the following statements... - I am a believer of taking chances,"Q12_8: How strongly do you agree/disagree with the following statements... - I am attracted, rather than scared, by risk",cyberattack_1: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - The vehicle seemed reliable.,cyberattack_2: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - The vehicle behaved as expected.,cyberattack_3: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - I felt safe.,cyberattack_4: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - I noticed something wrong with the vehicle.,Q22: Briefly describe what you noticed with the vehicle during the drive.,Q11_1_score,Q11_2_score,Q11_3_score,Q11_4_score,Q11_5_score,Q11_6_score,Q11_7_score,Q11_8_score,Q11_9_score,Q11_10_score,Q12_1_score,Q12_2_score,Q12_3_score,Q12_4_score,Q12_5_score,Q12_6_score,Q12_7_score,Q12_8_score,cyberattack_1_score,cyberattack_2_score,cyberattack_3_score,cyberattack_4_score
6/7/2024 15:17,12,0,1,11,Amateur,Male,24,College degree,"No, never.",NA,No,,"10,000 to 15,000 miles",0,0,7,18,1.8,28,3.5,Never,Occasionally,Hardly Ever,Hardly Ever,Hardly Ever,Never,Hardly Ever,Never,Hardly Ever,Hardly Ever,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"While driving on the road to foothills campus the speedometer, odometer, attackometer both stopped working and both dropped to zero. While this occurred all the lights on the center dashboard turned on, while the left panel remained the same. A few minutes passed by then everything went back to normal. ",1,3,2,2,2,1,2,1,2,2,4,3,4,2,4,3,5,3,4,4,4,4
6/8/2024 15:33,13,0,1,12,Amateur,Male,24,College degree,"No, never.",NA,Yes,I drove a Uhaul from FoCo to Dallas Texas ,"5,000 to 10,000 miles",0,0,7,15,1.5,32,4,Never,Occasionally,Never,Hardly Ever,Never,Never,Hardly Ever,Hardly Ever,Never,Never,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,"When drive on Laporte past overland, a notification popped up as service advised. Then all of the dashboard lights lite up like a Christmas tree. The tachometer and odometer needles go to zero while the truck was going 40 mph. Then in the middle of the screen there was a red box that were showing different symbols. I can’t recall all of them but one looked like it was about the truck bed. Another about pressure of some sort. And lastly a stethoscope. After a bit the truck returns to normal but still had service advised in the middle of the screen.",1,3,1,2,1,1,2,2,1,1,5,4,4,4,4,2,5,4,4,2,4,5
7/9/2024 14:03,14,0,1,13,Amateur,Male,48,High school diploma or equivalent,"Yes, and I still do.",1,Yes,Landscape bussines,"less than 5,000 miles",0,0,30,11,1.1,21,2.625,Never,Never,Never,Never,Never,Never,Never,Hardly Ever,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,1,1,1,1,1,1,1,2,1,1,3,3,3,3,3,1,2,3,5,5,5,1
7/12/2024 14:06,15,0,1,14,Professional,Male,59,College degree,"No, never.",NA,Yes,19 years as a driver operator for fire department. Both engines and ladder trucks,"5,000 to 10,000 miles",0,0,43,13,1.3,20,2.5,Never,Hardly Ever,Never,Never,Hardly Ever,Never,Hardly Ever,Never,Never,Never,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,The turn signals didn't reset after turn and speedometer quit briefly.,1,2,1,1,2,1,2,1,1,1,3,2,2,3,4,2,2,2,5,5,5,4
8/7/2024 14:54,33,0,1,15,Amateur,Male,20,Some education beyond high school but no degree,"No, never.",NA,No,,"20,000 to 25,000 miles",1,0,4,15,1.5,22,2.75,Never,Hardly Ever,Never,Hardly Ever,Never,Never,Hardly Ever,Hardly Ever,Hardly Ever,Never,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,The lights on the dashboard turned on at one point but I think it was a test,1,2,1,2,1,1,2,2,2,1,4,2,3,1,3,3,4,2,4,4,4,2
8/8/2024 15:30,34,0,1,16,Amateur,Male,NA,College degree,"No, never.",NA,No,,"less than 5,000 miles",0,0,NA,27,2.7,26,3.25,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Occasionally,Hardly Ever,Quite Often,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,The dashboard lights went out.,2,3,3,2,3,3,2,3,2,4,4,3,3,4,3,2,4,3,2,2,4,5
8/27/2024 10:58,46,0,1,17,Amateur,Female,26,College degree,"No, never.",NA,No,,"less than 5,000 miles",0,0,1,16,1.6,19,2.375,Never,Hardly Ever,Never,Hardly Ever,Occasionally,Never,Hardly Ever,Never,Hardly Ever,Never,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,The speedometer stopped working for a while and some signs that I didn’t understand came up,1,2,1,2,3,1,2,1,2,1,4,1,2,1,3,2,4,2,5,4,5,5
5/16/2024 14:52,6,0,2,1,Amateur,Male,22,Some education beyond high school but no degree,"No, never.",NA,No,,"5,000 to 10,000 miles",0,1,8,18,1.8,19,2.714285714,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Never,Never,Hardly Ever,Never,Hardly Ever,Never,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,Somewhat agree,Strongly agree,Strongly agree,"The speedometer and tachometer went dead, all the lights came on the dash, and it was almost like the car turned itsself off except the engine and breaks worked just fine",2,3,2,3,1,1,2,1,2,1,NA,2,3,2,2,3,4,3,NA,4,5,5
7/16/2024 17:05,16,0,2,2,Amateur,Male,NA,College degree,"No, never.",NA,Yes,,"less than 5,000 miles",0,0,21,16,1.6,21,2.625,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,"indicator lights went on for engine, brakes, etc., tone played, tach and speedometer read zero while vehicle was moving & engine on ",1,3,3,1,1,1,1,1,3,1,3,2,3,1,2,3,4,3,4,1,4,5
7/17/2024 10:57,17,0,2,3,Amateur,Male,23,College degree,"No, never.",NA,No,,"10,000 to 15,000 miles",0,1,8,20,2,21,2.625,Never,Occasionally,Hardly Ever,Hardly Ever,Hardly Ever,Never,Occasionally,Hardly Ever,Occasionally,Never,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,"The tachometer and speedometer went to 0. The dashboard lit up like a Christmas tree. But, the brakes still worked, and so did the steering, so I felt safe to continue driving. ",1,3,2,2,2,1,3,2,3,1,2,4,2,1,4,2,4,2,4,1,5,5
7/17/2024 19:07,18,0,2,4,Amateur,Female,19,Some education beyond high school but no degree,"No, never.",NA,No,,"10,000 to 15,000 miles",0,0,3,30,3,30,3.75,Hardly Ever,Occasionally,Never,Never,Nearly All the Time,Frequently,Nearly All the Time,Occasionally,Hardly Ever,Never,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,All the lights in the dash started to go off. Did not notice any other change in drivability though. Was unable to pull off in time to identify a solution ,2,3,1,1,6,5,6,3,2,1,5,2,4,4,4,4,5,2,3,1,4,5
7/18/2024 11:25,19,0,2,5,Professional,Male,28,Some education beyond high school but no degree,"Yes, and I still do.",8,Yes,Fire Department ,"20,000 to 25,000 miles",0,0,12,21,2.1,31,3.875,Never,Occasionally,Occasionally,Hardly Ever,Never,Never,Occasionally,Occasionally,Hardly Ever,Hardly Ever,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Gauge cluster briefly went dead and lost input.,1,3,3,2,1,1,3,3,2,2,4,4,4,3,4,3,5,4,5,5,5,3
7/19/2024 10:47,20,0,2,6,Amateur,Female,21,Some education beyond high school but no degree,"No, never.",NA,No,,"5,000 to 10,000 miles",0,0,5,18,1.8,19,2.375,Never,Occasionally,Never,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Never,Hardly Ever,Never,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"During the drive, many of the warning signals for the car came on the dash and I had to stop the car.",1,3,1,2,2,3,2,1,2,1,2,2,2,4,2,1,4,2,4,4,3,4
7/23/2024 10:46,21,0,2,7,Amateur,Male,36,"Advanced degree (e.g., JDS, MS, or PhD)","No, never.",NA,Yes,Researcher moving buses and trucks in Bogota- while installing measurement equipment or short trips around campus.,"5,000 to 10,000 miles",1,0,14,19,1.9,22,2.75,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Never,Hardly Ever,Never,Hardly Ever,Hardly Ever,Occasionally,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,It is empty so it is more prone to bounce and shaking. It takes a little while to get used to the feeling of the brakes. ,2,2,2,2,1,2,1,2,2,3,2,3,3,1,3,3,3,4,5,4,5,1
7/23/2024 14:21,22,0,2,8,Professional,Female,40,Some education beyond high school but no degree,"Yes, and I still do.",5,Yes,"I drive fire apparatus (ie:fire engine, heavy rescue, aerial trucks)","more than 25,000 miles",0,2,22,16,1.6,13,1.625,Never,Occasionally,Never,Never,Occasionally,Never,Never,Hardly Ever,Hardly Ever,Never,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,1,3,1,1,3,1,1,2,2,1,1,1,1,2,3,1,2,2,5,5,5,1
7/24/2024 9:42,23,0,2,9,Amateur,Male,40,"Advanced degree (e.g., JDS, MS, or PhD)","No, never.",NA,Yes,"20', 24' moving trucks, trailering boats with a 1 ton pickup ","more than 25,000 miles",0,0,25,16,1.6,9,1.125,Never,Quite Often,Hardly Ever,Never,Never,Never,Occasionally,Never,Never,Never,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,,1,4,2,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,4,4,5,1
7/25/2024 12:38,24,0,2,10,Amateur,Male,19,Some education beyond high school but no degree,"No, never.",NA,Yes,,"15,000 to 20,000 miles",1,0,4,27,2.7,32,4,Never,Nearly All the Time,Quite Often,Hardly Ever,Occasionally,Never,Never,Frequently,Hardly Ever,Hardly Ever,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Its a semi so its about as reliable as it comes the air stayed super consistent so i was confident in my brakes. During the failure of the gauges i still had water temp oil pressure and air pressure so i saw no need to stop. The brake pedals design in my opinion is flawed though,1,6,4,2,3,1,1,5,2,2,4,5,2,4,5,4,4,4,5,4,5,4
7/25/2024 16:03,25,0,2,11,Professional,Male,39,Some education beyond high school but no degree,"Yes, and I still do.",17,Yes,Otr and bus driver,"more than 25,000 miles",0,0,20,19,1.9,11,1.375,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Never,Never,Hardly Ever,Occasionally,Hardly Ever,Hardly Ever,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Check engine light,2,2,2,2,1,1,2,3,2,2,2,1,1,1,2,1,1,2,5,5,5,3
8/5/2024 9:59,31,0,2,12,Professional,Male,66,College degree,"Yes, and I still do.",48,Yes,"Buses, semis with trailer","more than 25,000 miles",0,0,50,15,1.5,20,2.5,Hardly Ever,Hardly Ever,Never,Never,Never,Hardly Ever,Hardly Ever,Never,Never,Hardly Ever,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,2,2,1,1,1,2,2,1,1,2,3,3,3,2,1,1,4,3,5,5,5,1
8/12/2024 13:25,35,0,2,13,Amateur,Female,56,College degree,"No, never.",NA,Yes,Own and often drive a 16’ box truck for our business,"10,000 to 15,000 miles",0,0,40,13,1.3,17,2.125,Never,Hardly Ever,Never,Never,Hardly Ever,Never,Hardly Ever,Never,Never,Never,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,"It handled well, braked and accelerated evenly. Since empty, a different experience than when loaded. ",1,2,1,1,2,1,2,1,1,1,1,3,1,1,1,2,5,3,5,5,5,1
8/14/2024 11:00,36,0,2,14,Professional,Male,61,High school diploma or equivalent,"Yes, but not currently.",30,Yes,Big responsibility ,"15,000 to 20,000 miles",0,0,50,22,2.2,22,2.75,Hardly Ever,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,Strongly agree,Strongly agree,Strongly disagree,Solid truck not comfortable ,2,3,2,2,3,2,2,2,2,2,1,4,2,4,1,2,4,4,NA,5,5,1
